song_name,artist,album,genre
Who Do You Love,The Chainsmokers,Who Do You Love,Pop
There's Nothing Holdin' Me Back,Shawn Mendes,Illuminate,Pop
Anywhere,Rita Ora,Anywhere,Pop
Like I Do,David Guetta,Like I Do,Pop
FRIENDS,Marshmello,FRIENDS,Pop
Polaroid,Jonas Blue,Polaroid,Pop
Came Here for Love,Sigala,Came Here for Love,Pop
How Long,Charlie Puth,Voicenotes,Pop
Part Of Me,Katy Perry,Teenage Dream: The Complete Confection,Pop
Last Friday Night (T.G.I.F.),Katy Perry,Katy Perry - Teenage Dream: The Complete Confection,Pop
Time of Our Lives,Pitbull,Globalization,Pop
I'm a Mess,Bebe Rexha,Expectations,Pop
The Way I Am,Charlie Puth,Voicenotes,Pop
Jackie Chan,Tiësto,Jackie Chan,Pop
Rise,Jonas Blue,Rise,Pop
Solo (feat. Demi Lovato),Clean Bandit,Solo (feat. Demi Lovato),Pop
One Kiss (with Dua Lipa),Calvin Harris,One Kiss (with Dua Lipa),Pop
Lean On (feat. MØ & DJ Snake),Major Lazer,Peace Is The Mission,Pop
Ain't My Fault,Zara Larsson,So Good,Pop
Unbelievable,Why Don't We,Unbelievable,Pop
Ciao Adios,Anne-Marie,Ciao Adios,Pop
I Want You To Know,Zedd,True Colors,Pop
No One Compares To You,Jack & Jack,A Good Friend Is Nice,Pop
Dance Monkey,Tones and I,Dance Monkey,Pop
Higher Love,Kygo,Higher Love,Pop
Lalala,Y2K,Lalala,Pop
Look At Her Now,Selena Gomez,Look At Her Now,Pop
Truth Hurts,Lizzo,Good as Hell,Pop
Don't Start Now,Dua Lipa,Don't Start Now,Pop
Goodbyes (Feat. Young Thug),Post Malone,Goodbyes (Feat. Young Thug),Pop
Bad Liar,Imagine Dragons,Origins (Deluxe),Pop
Lost Control,Alan Walker,Different World,Pop
My Oh My (feat. DaBaby),Camila Cabello,Romance,Pop
sex,EDEN,i think you think too much of me,Pop
Blinding Lights,The Weeknd,Blinding Lights,Pop
U DO U,Yung Scuff,U DO U,Pop
2025,Bohdi,2025,Pop
Nowhere,Gavin Haley,Half Evil,Pop
Hard,Noah Neiman,Hard,Pop
Lonely,Walk Off the Earth,Lonely,Pop
The New Insane,COUNTERFEIT.,The New Insane,Pop
Rich & Sad,PLVTINUM,Rich & Sad,Pop
Cloud 9,Beach Bunny,Cloud 9,Pop
New York,Jake Isaac,New York,Pop
Forever,Jacquie,Infinity,Pop
me & ur ghost,blackbear,me & ur ghost,Pop
Cold Cold Cold,Cage The Elephant,Tell Me I'm Pretty,Pop
Sweater Weather,The Neighbourhood,I Love You.,Pop
Hiding,JR JR,The Speed of Things,Pop
From Finner,Of Monsters and Men,My Head Is An Animal,Pop
Heartbreaker,Bad Suns,Disappear Here,Pop
Cardiac Arrest,Bad Suns,Language & Perspective,Pop
B Side,San Cisco,B Side,Pop
The Winds of Change,St. Lucia,Matter,Pop
Not Ready Anymore,The Griswolds,Be Impressive,Pop
Myke Ptyson,STRFKR,Starfucker,Pop
