song_name,artist,album,genre
What You're Made Of,Arrested Youth,Sobville (Episode I),rap
Believe I'm Leaving,Egzod,Believe I'm Leaving,rap
Arena,Fabian Mazur,Arena,rap
Vans - King Kavalier Remix,Arrested Youth,Vans (The Remixes),rap
Olympia,Falling North,Olympia,rap
Labyrinth,Convex,Labyrinth,rap
We Don't Care,Matt Rysen,We Don't Care,rap
Damage,Outr3ach,Damage,rap
What You Promised,Fairlane,What You Promised,rap
Dig,Arrested Youth,Sobville (Episode I),rap
Where We Goin',Jinco,Where We Goin',rap
Patience,Egzod,Patience,rap
The Kid I Used to Know,Arrested Youth,Sobville (Episode I),rap
Rehén,Arcangel,Historias de un Capricornio,rap
Loco por Verte,Los Hitmen,Loco por Verte,rap
El Efecto - Remix,Rauw Alejandro,El Efecto (Remix),rap
Solo (with Rauw Alejandro),Jay Menez,Solo (with Rauw Alejandro),rap
La Mas Linda,Casper Magico,La Mas Linda,rap
Video Llamada,Arcangel,Historias de un Capricornio,rap
Rutina,Myke Towers,Rutina,rap
"BOTA FUEGO (feat. Dímelo Flow, Justin Quiles & Lenny Tavárez) - Remix",Mau y Ricky,"BOTA FUEGO (feat. Dímelo Flow, Justin Quiles & Lenny Tavárez) [Remix]",rap
La Jeepeta,Nio Garcia,La Jeepeta,rap
Porfa,Feid,Porfa,rap
Mis Días Sin Ti,Rauw Alejandro,Mis Días Sin Ti,rap
Fantasmita - Remix,Casper Magico,Fantasmita (Remix),rap
Perriandote,Myke Towers,Perriandote,rap
Mami,Paloma Mami,Mami,rap
Nadie Como Tu,Amenazzy,Nadie Como Tu,rap
Trampa (feat. Zion & Lennox),Prince Royce,Trampa (feat. Zion & Lennox),rap
No Te Dejas,D-Note The Beatllionare,No Te Dejas,rap
Eres Top,Ozuna,Nibiru,rap
Me Pichea,Casper Magico,Me Pichea,rap
Ya No Más,Nacho,Ya No Más,rap
Perriando,Reykon,Perriando,rap
TE SUPERÉ,Becky G,MALA SANTA,rap
Sistema,Zion & Lennox,Sistema,rap
Una Noche,Rauw Alejandro,Una Noche,rap
Lento,Nio Garcia,Lento,rap
En Cero - Remix,Yandel,En Cero (Remix),rap
Vacilón,iZaak,Vacilón,rap
Tu Boca,Beéle,Tu Boca,rap
Otra Noche Más - Remix,Jay Wheeler,Platónico,rap
La Prision,Nengo Flow,La Prision,rap
Bailame Así,Myke Towers,Bailame Así,rap
Difícil,ICON,Difícil,rap
Mi Error - Remix,Eladio Carrion,Mi Error (Remix),rap
Desde Que Te Conocí,Jonna Torres,Desde Que Te Conocí,rap
MIAmi Ye,Roco,MIAmi Ye,rap
Evidencia,Baby Rasta & Gringo,Evidencia,rap
Fanático,Maxiolly,Fanático,rap
Guerra y Hambre,Midel,Guerra y Hambre,rap
Orange Cookies,Joven BTZ,Orange Cookies,rap
PARA SACARMELO (prod. OMAR VARELA),Ysy A,HECHO A MANO,rap
Nivel,Lucho SSJ,Nivel,rap
Trippie Redd,Coqeéin Montana,Trippie Redd,rap
Bhavi - BZRP Music Sessions #1,Bhavi,Bhavi - BZRP Music Sessions #1,rap
$$$ - Remix,Saramalacara,$$$ (Remix),rap
Me Extraña,Owin,Me Extraña,rap
C90,John C,C90,rap
Jimmy Fallon,Lucho SSJ,Jimmy Fallon,rap
Te Traje Flores,Duki,Súper Sangre Joven,rap
Cómo Dímelo,Nicki Nicole,Recuerdos,rap
Two 1 Two,Kiddo Toto,Two 1 Two,rap
Super Human,Tobi,Super Human,rap
Crema,Owin,Crema,rap
Traje unos tangos,Ysy A,Traje unos tangos,rap
Calle 2 - Remix,FMK,Calle 2 (Remix),rap
Pentakill,Neelo,Pentakill,rap
Verrako,Coqeéin Montana,Verrako,rap
"Dillom: Bzrp Music Sessions, Vol. 9",Bizarrap,"Dillom: Bzrp Music Sessions, Vol. 9",rap
Rappers,Lil Whigga,Rappers,rap
Budokai Tenkaichi,Saramalacara,Budokai Tenkaichi,rap
"Kiddo Toto: Bzrp Music Sessions, Vol. 11",Bizarrap,"Kiddo Toto: Bzrp Music Sessions, Vol. 11",rap
"Buenos Aires (feat. Khea, Bhavi)",Seven Kayne,Buenos Aires,rap
Fre$h,Lil Whigga,Fre$h,rap
Tussi,Marcianos Crew,Tussi,rap
B.U.H.O (feat. Duki & Klave),Midel,B.U.H.O (feat. Duki & Klave),rap
"TRAP.N.EXPORT (feat. Duki, Ysy A & Neo Pistea)",Modo Diablo,"TRAP.N.EXPORT (feat. Duki, Ysy A & Neo Pistea)",rap
Puesta Pa Mí,Coqeéin Montana,Puesta Pa Mí,rap
Ahora,Zanto,Ahora,rap
Glitter,Bhavi,Glitter,rap
Parte de Mi (feat. Lit Killah),FMK,Parte de Mi (feat. Lit Killah),rap
Empresario,Khea,Empresario,rap
Quavo #Mododiablo,Duki,Quavo #Mododiablo,rap
Rockstar,Duki,Rockstar,rap
She Don't Give a Fo,Duki,She Don't Give a Fo,rap
Ice,Ecko,Ice,rap
Si Te Sentis Sola,Duki,Si Te Sentis Sola,rap
Tres Rosas,Seven Kayne,Tres Rosas,rap
LeBron,Duki,LeBron,rap
Tony Love - Remix,Pekeño 77,Tony Love (Remix),rap
Ella es una G,C.R.O,Ella es una G,rap
Bufón,Lit Killah,Bufón,rap
Ponte Pa' Mi (feat. Eladio Carrion),Neo Pistea,Ponte Pa' Mi (feat. Eladio Carrion),rap
Recién Me Desperte,Lucho SSJ,Recién Me Desperte,rap
Tamo Loco,Ysy A,Tamo Loco,rap
Mi Chain de Roque,Duki,Mi Chain de Roque,rap
Pa' Brillar,Lucho SSJ,Sangre Joven,rap
Hijo De La Noche,Duki,Hijo De La Noche,rap
Break of Dawn - Duke & Jones Remix,Yellow Claw,Danger Days (The Remixes),rap
Hero (feat. David Shane),QUIX,Illusions EP,rap
SouthSide,DJ Snake,SouthSide,rap
Holdin On,Party Favor,Layers,rap
Schism,Take/Five,Schism,rap
Danger Days,Yellow Claw,Danger Days,rap
Can You Hear Me,Ookay,Nice! EP,rap
GERONIMO (feat. Ace Hood),BLVK JVCK,GERONIMO (feat. Ace Hood),rap
Gasoline,Party Favor,Gasoline,rap
Jundo,Ekali,Jundo,rap
Invasion,Kaivon,Transformation,rap
Flash,MEMBA,Flash,rap
ANTHEM,"Lukrative, hyperforms, COSMIC, Night Grind, Noax, SYNC, vowl., NOIXES","ANTHEM (feat. Lukrative , hyperforms , COSMIC , Night Grind, Noax , SYNC , vowl , NOIXES)",rap
Reach For Me,Party Favor,Layers,rap
2 MUCH (feat. 24hrs) (feat. 24hrs),Flosstradamus,2 MUCH (feat. 24hrs) (feat. 24hrs),rap
Tep Tep,Baauer,Tep Tep,rap
Pressure,EBEN,Pressure,rap
Back,Rickyxsan,Back,rap
Work It Out,Party Favor,Layers,rap
The Groove,Fabian Mazur,The Groove,rap
The Machine,Take/Five,The Machine,rap
Losing Myself,Cesqeaux,Losing Myself,rap
Siren,The Chainsmokers,Sick Boy,rap
Blame - Tisoki Remix,Party Favor,Blame (Remixes),rap
Losing Time,Drew Wilken,Losing Time,rap
Eternal,Onur Ormen,Eternal,rap
Earthquake,Marshmello,Joytime III,rap
Diamonds (feat. Micky Blue),Tiësto,Together,rap
2012,Party Favor,2012,rap
Marrakech,Türküm,Marrakech,rap
No One,Biometrix,No One,rap
SO HIGH,BONNIE X CLYDE,SO HIGH,rap
Tension,Onur Ormen,Tension,rap
Get Low,Fabian Mazur,Get Low,rap
Barrows Ballad,Dion Timmer,Very Extra,rap
Lowkey (feat. Lil Traffic),Godlands,Lowkey (feat. Lil Traffic),rap
Dubai,SWU,Dubai,rap
POWER,Türküm,ANTI-SOBER,rap
ID,Boombox Cartel,ID,rap
Get Money,Murdbrain,Get Money,rap
Life,Noise Cans,Life,rap
Follow Me,Levianth,Follow Me,rap
Helix,KRMA,Helix,rap
Take A Sip,sumthin sumthin,Take A Sip,rap
Fire,Türküm,Fire,rap
Exhale,EBEN,Exhale,rap
Butterfly Effect,DJ Snake,Carte Blanche,rap
Everybody,Borgeous,Lights Out,rap
No Smoke - Benzi & Blush Remix,YoungBoy Never Broke Again,No Smoke (Benzi & Blush Remix),rap
Tender Lies,Türküm,Tender Lies,rap
Flatline,Blueprint,Flatline,rap
Basquiat,Milano The Don,Basquiat,rap
Ooh,SAYMYNAME,Ooh,rap
Fright,Dav the Ninja,In Peace,rap
Cobra,Formal One,Cobra,rap
Level Up,Fabian Mazur,Level Up,rap
Ham Sandwich,Getter,Ham Sandwich,rap
Mistakes,Mike Hawkins,Mistakes,rap
Tribe,Dav the Ninja,In Peace,rap
Anymore,Brevis,Anymore,rap
Horus,bassReaper,Horus,rap
Out Of My System,BONNIE X CLYDE,Wanted EP,rap
Insomniac,AJ Salvatore,Insomniac,rap
Keep Calm,Lucha,Keep Calm,rap
Highly,P.A.F.F.,Highly,rap
Prodigium,Azide,Prodigium,rap
Legacy,Onur Ormen,Legacy,rap
Leave It,UZ,The Rebirth,rap
Neo Tokyo,Kelypso,Neo Tokyo,rap
Oh My God,2nd Life,Oh My God,rap
Switch,CLRFL,Switch,rap
Warrior,Hopex,Warrior,rap
UNDERGRND,UZ,UNDERGRND,rap
Major,Dabow,Major,rap
Burn - Original Mix,Joseph Crawford,Burn,rap
Shenai,Lucha,Shenai,rap
Creed,Türküm,Creed,rap
Hear Dem Talking,Dread Pitt,Hear Dem Talking,rap
Love Me Less (feat. Quinn XCII) - Ookay Remix,MAX,Love Me Less (feat. Quinn XCII) [Ookay Remix],rap
All About It (GTA & Cimo Fränkel),Good Times Ahead,Ninjawerks (Vol.1),rap
Lacrimosa,Apashe,Requiem,rap
Nothing Less,Knapsack,futura,rap
Swings,Lit Lords,Swings,rap
Explode,Killrude,Explode,rap
Blessin',redz,blessin',rap
AVA,Jinco,Ava,rap
Show You,Noah Neiman,Show You,rap
Tear,EBEN,Tear,rap
Pop Dat,4B,Pop Dat,rap
DJ Tool 8 - VIP,Good Times Ahead,La Nueva Clásica (Remixes),rap
Guava,Flosstradamus,Guava,rap
Supernatural (feat. Anjulie),Boombox Cartel,Supernatural (feat. Anjulie),rap
The Cat,Eprom,The Cat,rap
No Option (feat. Burna Boy),DJ Snake,Carte Blanche,rap
Baton,Xinister,Baton,rap
Came Up,Flosstradamus,Came Up,rap
Bring That Back,Kennedy Jones,Bring That Back,rap
Flute Loop (feat. Ouici),Keys N Krates,Cura,rap
Stockholm White - Perk Pietrek Remix,UZ,Layers (The Remixes),rap
Flashbacks,Marshmello,Joytime II,rap
Patek,MC Igu,Aurélio³,rap
Tudo por Nós,Knust,Tudo por Nós,rap
Sou Rock N' Roll,Dfideliz,Sou Rock N' Roll,rap
Cicatrizes,Meno Tody,Cicatrizes,rap
HIGH.,Menestrel,HIGH.,rap
Fogo de Chão,Costa Gold,Fogo de Chão,rap
Blow Job,UCLÃ,Blow Job,rap
Um Drink no Inferno,Xamã,Um Drink no Inferno,rap
Disfarce,Thiago,Disfarce,rap
Dados,Dudu,Dados,rap
Equilíbrio,Krawk,Equilíbrio,rap
Nemo,Pineapple StormTv,Nemo,rap
Pianista da Rua 6,Tribo da Periferia,Pianista da Rua 6,rap
Segundo Andar,Kiaz,Segundo Andar,rap
Máscaras,Choice,Máscaras,rap
Sumô,Jé Santiago,Sumô,rap
Modo Avião,MC Hariel,Modo Avião,rap
Jovem Estrela,Knust,Jovem Estrela,rap
Eu Tenho Drip,Derek,Eu Tenho Drip,rap
Outlet,Menestrel,Outlet,rap
X.T,Dalsin,X.T,rap
Relaxa,Altamira,Relaxa,rap
$ENHOR,FBC,PADRIM,rap
Vários Flash,mayklove,Vários Flash,rap
Do Nada,Derek,Do Nada,rap
Fé Pros Real,Kalli,Fé Pros Real,rap
Meu Drip,Lucas Muto,Meu Drip,rap
Shopping,Meno Tody,Shopping,rap
Função,L7NNON,Função,rap
Sangue Ruim,NGC Daddy,Sangue Ruim,rap
Não Demora,Mati,Não Demora,rap
Ai Droga,Pineapple StormTv,Ai Droga,rap
Divisor de Águas,Zeus,Divisor de Águas,rap
Preto Todo de Ouro,Dfideliz,Preto Todo de Ouro,rap
Deja Vu,Dolla,Deja Vu,rap
Não Quero Mais Falar de Amor,Goude,Não Quero Mais Falar de Amor,rap
Surprise,Leozin,Surprise,rap
Lua,Mc Pedrinho,Lua,rap
Popeye,MC Igu,Popeye,rap
Long Spoon,Entre Linhas,Long Spoon,rap
Sucrilhos,WIU,Sucrilhos,rap
Porsche,Sidoka,Porsche,rap
Hoje Tem,WC no Beat,Hoje Tem,rap
6 Horas,MC Cabelinho,6 Horas,rap
Não Dá Mais,Mc Don Juan,Não Dá Mais,rap
Privê,Thiaguinho MT,Privê,rap
Os Clínicos,MC Cabelinho,Os Clínicos,rap
"Como ela vem (feat. Luccas Carlos, Xamã, PK e Orochi)",Papatinho,"Como ela vem (feat. Luccas Carlos, Xamã, PK e Orochi)",rap
Chamei Chamando,Mc Don Juan,Chamei Chamando,rap
